1.642000000000000000e+06	1.621000000000000000e+06	2.948000000000000000e+05
1.655000000000000000e+06	1.690000000000000000e+06	3.100000000000000000e+05
1.676000000000000000e+06	1.735000000000000000e+06	2.958000000000000000e+05
1.917000000000000000e+06	1.808000000000000000e+06	3.307000000000000000e+05
1.908000000000000000e+06	1.815000000000000000e+06	3.603000000000000000e+05
1.721000000000000000e+06	1.777000000000000000e+06	3.559000000000000000e+05
1.453000000000000000e+06	1.683000000000000000e+06	3.308000000000000000e+05
1.311000000000000000e+06	1.590000000000000000e+06	3.051000000000000000e+05
1.230000000000000000e+06	1.515000000000000000e+06	2.817000000000000000e+05
1.102824000000000000e+06	1.414226000000000000e+06	2.616800000000000000e+05
9.644200000000000000e+05	1.398822000000000000e+06	2.462360000000000000e+05
1.273042000000000000e+06	1.523676000000000000e+06	2.543500000000000000e+05
